district_id,district_name,individual_income,population_0s,population_10s,population_20s,population_30s,population_40s,population_50s,population_60s,population70Over,crime_count
11110,종로구,52.2,6334,10524,27169,20917,20360,24783,21113,19218,3138
11140,중구,49.5,6143,6855,21413,22853,18130,20327,18933,17110,3071
11170,용산구,69.8,12341,14791,32493,40925,34139,36100,30058,26199,2967
11200,성동구,52.5,17107,18316,44509,46899,41629,45277,38914,32066,2194
11215,광진구,40.8,15821,25071,66055,57374,49446,54946,46376,36046,3619
11230,동대문구,37.9,18649,23788,69172,51866,49671,53520,48984,44166,3253
11260,중랑구,32.8,19493,24266,51478,59102,53854,65543,63640,50041,3599
11290,성북구,42.2,24378,36194,71909,58015,64393,71594,58287,53337,2749
11305,강북구,31,11742,19496,40280,35886,40402,50769,48110,46242,2832
11320,도봉구,33.9,14346,22535,38269,38209,42881,54592,53105,45499,2141
11350,노원구,40.1,26534,47470,68575,61947,75901,86826,73292,62295,3896
11380,은평구,36.9,24446,35736,62545,67445,70984,78504,69204,61948,3487
11410,서대문구,44.6,17768,23031,56739,47018,45398,49725,41919,38967,2374
11440,마포구,51.2,21008,27122,64188,66207,58156,56880,42837,38712,4096
11470,양천구,49.4,25499,47863,52990,53852,73135,75550,62956,47340,3169
11500,강서구,39.5,31469,41987,80228,98256,87429,84204,80873,64298,4663
11530,구로구,37.4,23895,29038,52515,65192,62656,68966,62087,51252,3857
11545,금천구,32.5,10738,13384,35958,40427,32003,41776,38175,28611,2577
11560,영등포구,47.5,23428,23798,59154,74755,58130,62188,52543,43741,4819
11590,동작구,44.2,20321,26769,68622,61565,55618,58716,51366,46679,2735
11620,관악구,33.7,17008,25779,113010,91557,63473,68406,61763,56834,4879
11650,서초구,80.5,28129,45116,50742,58131,73246,65747,48186,42717,4459
11680,강남구,81.1,33119,62025,69299,80376,99860,86342,63024,56147,6947
11710,송파구,55.7,43570,57643,85618,106374,107510,102218,90245,66756,5167
11740,강동구,44.2,31069,39038,57254,69643,75081,71601,68779,50775,3711
