district,area,population_density,district_id
종로구,사직동,7605.69,11110
종로구,삼청동,1773.15,11110
종로구,부암동,4200.88,11110
종로구,평창동,2013.3,11110
종로구,무악동,22366.67,11110
종로구,교남동,28554.29,11110
종로구,가회동,7527.78,11110
종로구,종로1.2.3.4가동,3702.13,11110
종로구,종로5.6가동,9695,11110
종로구,이화동,9783.33,11110
종로구,창신1동,17364.52,11110
종로구,창신2동,33830.77,11110
종로구,창신3동,28721.74,11110
종로구,숭인1동,26334.78,11110
종로구,숭인2동,30025.71,11110
종로구,청운효자동,4598.44,11110
종로구,혜화동,17314.29,11110
중구,소공동,3766.32,11140
중구,회현동,6216.67,11140
중구,명동,3674.75,11140
중구,필동,4224.56,11140
중구,장충동,3916.18,11140
중구,광희동,9029.73,11140
중구,을지로동,3186.67,11140
중구,신당5동,26956.41,11140
중구,황학동,40784.85,11140
중구,중림동,25704.17,11140
중구,신당동,16521.82,11140
중구,다산동,27360.78,11140
중구,약수동,34604.17,11140
중구,청구동,39561.76,11140
중구,동화동,39226.92,11140
용산구,후암동,19548.84,11170
용산구,용산2가동,5271.94,11170
용산구,남영동,6346.22,11170
용산구,원효로2동,19429.58,11170
용산구,효창동,24745.45,11170
용산구,용문동,41657.14,11170
용산구,이촌1동,8988.46,11170
용산구,이촌2동,6634.43,11170
용산구,이태원1동,13942.11,11170
용산구,이태원2동,12124.42,11170
용산구,서빙고동,4806.43,11170
용산구,보광동,19802.82,11170
용산구,청파동,22036.67,11170
용산구,원효로1동,30125.42,11170
용산구,한강로동,7891.72,11170
용산구,한남동,7326.91,11170
성동구,왕십리2동,40702.44,11200
성동구,마장동,21624.76,11200
성동구,사근동,12801.82,11200
성동구,행당1동,23722.03,11200
성동구,행당2동,55114.29,11200
성동구,응봉동,26491.23,11200
성동구,금호1가동,32906.52,11200
성동구,금호4가동,16938.1,11200
성동구,성수1가1동,8328.43,11200
성동구,성수1가2동,13844.94,11200
성동구,성수2가1동,13432.48,11200
성동구,성수2가3동,10213.59,11200
성동구,송정동,13952,11200
성동구,용답동,5433.33,11200
성동구,왕십리도선동,37365.28,11200
성동구,금호2.3가동,35035.94,11200
성동구,옥수동,13321.13,11200
광진구,화양동,23346.55,11215
광진구,군자동,29086.49,11215
광진구,중곡1동,25262.9,11215
광진구,중곡2동,38792.73,11215
광진구,중곡3동,26961.67,11215
광진구,중곡4동,12243.53,11215
광진구,능동,10510,11215
광진구,구의1동,42944.64,11215
광진구,구의2동,19117.27,11215
광진구,구의3동,27882.35,11215
광진구,광장동,14377.41,11215
광진구,자양1동,39840.35,11215
광진구,자양2동,14436.31,11215
광진구,자양3동,23215,11215
광진구,자양4동,18327.59,11215
동대문구,회기동,17810.53,11230
동대문구,휘경1동,25934.92,11230
동대문구,휘경2동,23491.43,11230
동대문구,청량리동,15911.67,11230
동대문구,용신동,22445.34,11230
동대문구,제기동,22444.07,11230
동대문구,전농1동,24554.62,11230
동대문구,전농2동,21661.63,11230
동대문구,답십리2동,33005.88,11230
동대문구,장안1동,30941.6,11230
동대문구,장안2동,29986.24,11230
동대문구,이문1동,20544.23,11230
동대문구,이문2동,29250.72,11230
동대문구,답십리1동,35222.22,11230
중랑구,면목2동,31436.36,11260
중랑구,면목4동,21547.13,11260
중랑구,면목5동,21194.29,11260
중랑구,면목7동,18165,11260
중랑구,상봉1동,26947.73,11260
중랑구,상봉2동,31710.77,11260
중랑구,중화1동,30145.31,11260
중랑구,중화2동,24679.21,11260
중랑구,묵1동,28620,11260
중랑구,묵2동,27797.01,11260
중랑구,망우3동,17720.65,11260
중랑구,신내1동,14923.83,11260
중랑구,신내2동,21672.04,11260
중랑구,면목본동,40304.76,11260
중랑구,면목3.8동,15102.45,11260
중랑구,망우본동,11849.83,11260
성북구,돈암1동,29538.78,11290
성북구,돈암2동,49285.42,11290
성북구,안암동,12870.68,11290
성북구,보문동,29842.86,11290
성북구,정릉1동,41356.82,11290
성북구,정릉2동,19582.05,11290
성북구,정릉3동,4465.5,11290
성북구,정릉4동,7958.79,11290
성북구,길음1동,44303.8,11290
성북구,길음2동,37462.07,11290
성북구,월곡1동,32307.41,11290
성북구,월곡2동,14513.97,11290
성북구,장위1동,34402.86,11290
성북구,장위2동,20331.34,11290
성북구,장위3동,24412.31,11290
성북구,성북동,5905.24,11290
성북구,삼선동,25047.83,11290
성북구,동선동,21739.73,11290
성북구,종암동,27473.29,11290
성북구,석관동,20413.29,11290
강북구,번1동,28148.48,11305
강북구,번2동,16207.37,11305
강북구,번3동,14953.64,11305
강북구,수유1동,12276.05,11305
강북구,수유2동,36936.84,11305
강북구,수유3동,33025,11305
강북구,삼양동,25373.63,11305
강북구,미아동,23317.2,11305
강북구,송중동,29613.86,11305
강북구,송천동,28886.67,11305
강북구,삼각산동,49901.61,11305
강북구,우이동,1985.12,11305
강북구,인수동,9120.73,11305
도봉구,쌍문1동,17294.35,11320
도봉구,쌍문2동,34187.04,11320
도봉구,쌍문3동,33868,11320
도봉구,쌍문4동,35284.62,11320
도봉구,방학1동,41173.91,11320
도봉구,방학2동,26154.05,11320
도봉구,방학3동,10114.5,11320
도봉구,창1동,27843.18,11320
도봉구,창2동,27578.1,11320
도봉구,창3동,20347.76,11320
도봉구,창4동,27495.79,11320
도봉구,창5동,34775.71,11320
도봉구,도봉1동,2364.91,11320
도봉구,도봉2동,31757.83,11320
노원구,월계1동,18603.45,11350
노원구,월계2동,13436.08,11350
노원구,월계3동,25114.53,11350
노원구,공릉2동,6237.24,11350
노원구,하계1동,17407.74,11350
노원구,하계2동,42435.29,11350
노원구,중계본동,11917.26,11350
노원구,중계1동,42190.48,11350
노원구,중계4동,11530,11350
노원구,상계1동,6736.12,11350
노원구,상계2동,32178.69,11350
노원구,상계5동,23501.98,11350
노원구,상계8동,33349.25,11350
